SEQUENCE_ID,TYPE,DOMAINS,TP,FP,FN,Sens,PPV,Jaccard
E005_021,E,5,1,20,4,0.2,0.04762,0.04
E005_022,E,5,2,12,3,0.4,0.14286,0.11765
E005_023,E,5,2,12,3,0.4,0.14286,0.11765
E005_024,E,5,2,13,3,0.4,0.13333,0.11111
E005_025,E,5,2,9,3,0.4,0.18182,0.14286
E005_026,E,5,3,5,2,0.6,0.375,0.3
E005_027,E,5,4,4,1,0.8,0.5,0.44444
E005_028,E,5,2,10,3,0.4,0.16667,0.13333
E005_029,E,5,2,7,3,0.4,0.22222,0.16667
E005_030,E,5,4,2,1,0.8,0.66667,0.57143
E005_031,E,5,2,11,3,0.4,0.15385,0.125
E005_032,E,5,4,7,1,0.8,0.36364,0.33333
E005_033,E,5,3,7,2,0.6,0.3,0.25
E005_034,E,5,5,2,0,1.0,0.71429,0.71429
E005_035,E,5,1,10,4,0.2,0.09091,0.06667
E005_036,E,5,2,10,3,0.4,0.16667,0.13333
E005_037,E,5,2,13,3,0.4,0.13333,0.11111
E005_038,E,5,1,13,4,0.2,0.07143,0.05556
E005_039,E,5,3,6,2,0.6,0.33333,0.27273
E005_040,E,5,4,4,1,0.8,0.5,0.44444
E005_041,E,5,1,18,4,0.2,0.05263,0.04348
E005_042,E,5,3,11,2,0.6,0.21429,0.1875
E005_043,E,5,3,7,2,0.6,0.3,0.25
E005_044,E,5,3,6,2,0.6,0.33333,0.27273
E005_045,E,5,2,12,3,0.4,0.14286,0.11765
E005_046,E,5,2,12,3,0.4,0.14286,0.11765
E005_047,E,5,2,9,3,0.4,0.18182,0.14286
E005_048,E,5,2,8,3,0.4,0.2,0.15385
E005_049,E,5,5,1,0,1.0,0.83333,0.83333
E005_050,E,5,2,12,3,0.4,0.14286,0.11765
E005_051,E,5,1,16,4,0.2,0.05882,0.04762
E005_052,E,5,5,2,0,1.0,0.71429,0.71429
E005_053,E,5,1,15,4,0.2,0.0625,0.05
E005_054,E,5,3,9,2,0.6,0.25,0.21429
E005_055,E,5,1,11,4,0.2,0.08333,0.0625
E005_056,E,5,1,13,4,0.2,0.07143,0.05556
E005_057,E,5,1,13,4,0.2,0.07143,0.05556
E005_058,E,5,4,3,1,0.8,0.57143,0.5
E005_059,E,5,2,11,3,0.4,0.15385,0.125
E005_060,E,5,4,7,1,0.8,0.36364,0.33333
E005_061,E,5,3,8,2,0.6,0.27273,0.23077
E005_062,E,5,3,6,2,0.6,0.33333,0.27273
E005_063,E,5,3,10,2,0.6,0.23077,0.2
E005_064,E,5,4,3,1,0.8,0.57143,0.5
E005_065,E,5,2,9,3,0.4,0.18182,0.14286
E005_066,E,5,4,7,1,0.8,0.36364,0.33333
E005_067,E,5,3,11,2,0.6,0.21429,0.1875
E005_068,E,5,2,14,3,0.4,0.125,0.10526
E005_069,E,5,3,5,2,0.6,0.375,0.3
E005_070,E,5,2,15,3,0.4,0.11765,0.1
E005_071,E,5,2,14,3,0.4,0.125,0.10526
E005_072,E,5,4,4,1,0.8,0.5,0.44444
E005_073,E,5,1,21,4,0.2,0.04545,0.03846
E005_074,E,5,4,5,1,0.8,0.44444,0.4
E005_075,E,5,2,11,3,0.4,0.15385,0.125
E005_076,E,5,3,7,2,0.6,0.3,0.25
E005_077,E,5,4,4,1,0.8,0.5,0.44444
E005_078,E,5,1,13,4,0.2,0.07143,0.05556
E005_079,E,5,3,7,2,0.6,0.3,0.25
E005_080,E,5,2,9,3,0.4,0.18182,0.14286
E005_081,E,5,3,5,2,0.6,0.375,0.3
E005_082,E,5,3,7,2,0.6,0.3,0.25
E005_083,E,5,3,4,2,0.6,0.42857,0.33333
E005_084,E,5,3,8,2,0.6,0.27273,0.23077
E005_085,E,5,2,8,3,0.4,0.2,0.15385
E005_086,E,5,2,13,3,0.4,0.13333,0.11111
E005_087,E,5,1,11,4,0.2,0.08333,0.0625
E005_088,E,5,2,13,3,0.4,0.13333,0.11111
E005_089,E,5,4,3,1,0.8,0.57143,0.5
E005_090,E,5,1,11,4,0.2,0.08333,0.0625
E005_091,E,5,2,7,3,0.4,0.22222,0.16667
E005_092,E,5,4,3,1,0.8,0.57143,0.5
E005_093,E,5,1,12,4,0.2,0.07692,0.05882
E005_094,E,5,1,14,4,0.2,0.06667,0.05263
E005_095,E,5,2,10,3,0.4,0.16667,0.13333
E005_096,E,5,4,7,1,0.8,0.36364,0.33333
E005_097,E,5,3,4,2,0.6,0.42857,0.33333
E005_098,E,5,3,6,2,0.6,0.33333,0.27273
E005_099,E,5,3,10,2,0.6,0.23077,0.2
E005_100,E,5,0,18,5,0.0,0.0,0.0
E010_001,E,10,8,6,2,0.8,0.57143,0.5
E010_002,E,10,7,8,3,0.7,0.46667,0.38889
E010_003,E,10,5,15,5,0.5,0.25,0.2
E010_004,E,10,5,17,5,0.5,0.22727,0.18519
E010_005,E,10,4,16,6,0.4,0.2,0.15385
E010_006,E,10,4,19,6,0.4,0.17391,0.13793
E010_007,E,10,4,23,6,0.4,0.14815,0.12121
E010_008,E,10,6,10,4,0.6,0.375,0.3
E010_009,E,10,5,20,5,0.5,0.2,0.16667
E010_010,E,10,5,14,5,0.5,0.26316,0.20833
E010_011,E,10,5,21,5,0.5,0.19231,0.16129
E010_012,E,10,4,22,6,0.4,0.15385,0.125
E010_013,E,10,4,10,6,0.4,0.28571,0.2
E010_014,E,10,0,28,10,0.0,0.0,0.0
E010_015,E,10,5,17,5,0.5,0.22727,0.18519
E010_016,E,10,5,12,5,0.5,0.29412,0.22727
E010_017,E,10,5,16,5,0.5,0.2381,0.19231
E010_018,E,10,6,10,4,0.6,0.375,0.3
E010_019,E,10,5,13,5,0.5,0.27778,0.21739
E010_020,E,10,7,9,3,0.7,0.4375,0.36842
E010_021,E,10,6,16,4,0.6,0.27273,0.23077
E010_022,E,10,3,22,7,0.3,0.12,0.09375
E010_023,E,10,4,16,6,0.4,0.2,0.15385
E010_024,E,10,4,22,6,0.4,0.15385,0.125
E010_025,E,10,5,18,5,0.5,0.21739,0.17857
E010_026,E,10,6,12,4,0.6,0.33333,0.27273
E010_027,E,10,4,13,6,0.4,0.23529,0.17391
E010_028,E,10,4,21,6,0.4,0.16,0.12903
E010_029,E,10,6,14,4,0.6,0.3,0.25
E010_030,E,10,7,11,3,0.7,0.38889,0.33333
E010_031,E,10,5,14,5,0.5,0.26316,0.20833
E010_032,E,10,5,13,5,0.5,0.27778,0.21739
E010_033,E,10,3,22,7,0.3,0.12,0.09375
E010_034,E,10,5,16,5,0.5,0.2381,0.19231
E010_035,E,10,7,15,3,0.7,0.31818,0.28
E010_036,E,10,2,23,8,0.2,0.08,0.06061
E010_037,E,10,6,11,4,0.6,0.35294,0.28571
E010_038,E,10,4,19,6,0.4,0.17391,0.13793
E010_039,E,10,3,24,7,0.3,0.11111,0.08824
E010_040,E,10,3,21,7,0.3,0.125,0.09677
E010_041,E,10,9,3,1,0.9,0.75,0.69231
E010_042,E,10,4,17,6,0.4,0.19048,0.14815
E010_043,E,10,8,6,2,0.8,0.57143,0.5
E010_044,E,10,6,11,4,0.6,0.35294,0.28571
E010_045,E,10,5,17,5,0.5,0.22727,0.18519
E010_046,E,10,4,15,6,0.4,0.21053,0.16
E010_047,E,10,6,12,4,0.6,0.33333,0.27273
E010_048,E,10,4,17,6,0.4,0.19048,0.14815
E010_049,E,10,4,15,6,0.4,0.21053,0.16
E010_050,E,10,4,23,6,0.4,0.14815,0.12121
E010_051,E,10,7,11,3,0.7,0.38889,0.33333
E010_052,E,10,6,15,4,0.6,0.28571,0.24
E010_053,E,10,9,4,1,0.9,0.69231,0.64286
E010_054,E,10,3,24,7,0.3,0.11111,0.08824
E010_055,E,10,4,17,6,0.4,0.19048,0.14815
E010_056,E,10,5,12,5,0.5,0.29412,0.22727
E010_057,E,10,9,3,1,0.9,0.75,0.69231
E010_058,E,10,6,12,4,0.6,0.33333,0.27273
